"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"2219707","321358","1120","3","1","1","","","3","","2015"
"2219708","321358","1122","0","1","1","","","0","","2015"
"2219709","321358","1127","1.3","6","1","0.26","2.47","1.21","","2015"
"2219710","321358","1130","0","6","1","0","0","0","","2015"
"2219711","321358","1131","0","6","1","0","0","0","","2015"
"2219712","321358","1162","0","6","1","0","0","0","","2015"
"2219713","321358","1165","0.15","6","1","0.12","0.17","0.16","","2015"
"2219714","321358","1166","0.115","6","1","0.08","0.14","0.12","","2015"
"2219715","321358","1177","36","6","1","13","53","41","","2015"
"2219716","321358","1184","0","2","1","0","0","0","","2015"
"2219717","321358","1185","17.2","2","1","11.2","23.3","17.2","","2015"
"2219718","321358","1257","0.018","","4","","","","",""
"2219719","321358","1258","2.22","","4","","","","",""
"2219720","321358","1261","0","6","1","0","0","0","","2015"
"2219721","321358","1263","0","6","1","0","0","0","","2015"
"2219722","321358","1264","0.009","6","1","0.008","0.01","0.008","","2015"
"2219723","321358","1272","0","6","1","0","0","0","","2015"
"2219724","321358","1273","0.044","6","1","0.031","0.062","0.042","","2015"
"2219725","321358","1278","0","6","1","0","0","0","","2015"
"2219726","321358","1280","0","6","1","0","0","0","","2015"
"2219727","321358","1300","0.01","6","1","0.006","0.014","0.011","","2015"
"2219728","321358","1301","0.027","6","1","0.019","0.044","0.025","","2015"
"2219729","321358","1303","0","6","1","0","0","0","","2015"
"2219730","321358","1312","0.005","6","1","0","0.011","0.004","","2015"
"2219731","321358","1315","6.25","6","1","4.87","8.73","5.98","","2015"
"2219732","321358","1316","6.81","6","1","4.78","8.56","7.03","","2015"
"2219733","321358","1317","0.001","","4","","","","",""
"2219734","321358","1323","0.007","6","1","0.005","0.01","0.008","","2015"
"2219735","321358","1329","0.006","","4","","","","",""
"2219736","321358","1333","0","6","1","0","0","0","","2015"
"2219737","321358","1404","0.637","6","1","0.411","0.742","0.668","","2015"
"2219738","321358","1405","0","6","1","0","0","0","","2015"
"2219739","321358","1411","0","6","1","0","0","0","","2015"
"2219740","321358","1003","7.35","","49","6.2","8.05","7.79","",""
"2219741","321358","1007","1.97","11","1","1.73","2.12","1.99","","2015"
"2219742","321358","1009","8.12","6","1","7.7","8.8","8","","2015"
"2219743","321358","1012","0.15","2","1","0","0.3","0.15","","2015"
"2219744","321358","1013","0","2","1","0","0","0","","2015"
"2219745","321358","1062","960","","49","","","","",""
"2219746","321358","1075","0","2","1","0","0","0","","2015"
"2219747","321358","1079","5.4","6","1","4.9","5.7","5.5","","2015"
"2219748","321358","1089","2.41","11","1","1.87","2.96","2.33","","2015"
"2219749","321358","1090","71.1","11","1","56.6","82","70.4","","2015"
"2219750","321358","1091","166","11","1","134","190","179","","2015"
"2219751","321358","1093","438","11","1","387","489","444","","2015"
