"fdc_id","data_type","description","food_category_id","publication_date"
"336069","survey_fndds_food","Milk, NFS","","2019-04-01"
"336070","survey_fndds_food","Milk, whole","","2019-04-01"
"336071","survey_fndds_food","Milk, low sodium, whole","","2019-04-01"
"336072","survey_fndds_food","Milk, calcium fortified, whole","","2019-04-01"
"336073","survey_fndds_food","Milk, calcium fortified, low fat (1%)","","2019-04-01"
"336074","survey_fndds_food","Milk, calcium fortified, fat free (skim)","","2019-04-01"
"336075","survey_fndds_food","Milk, reduced fat (2%)","","2019-04-01"
"336076","survey_fndds_food","Milk, acidophilus, low fat (1%)","","2019-04-01"
"336077","survey_fndds_food","Milk, acidophilus, reduced fat (2%)","","2019-04-01"
"336078","survey_fndds_food","Milk, low fat (1%)","","2019-04-01"
"336079","survey_fndds_food","Milk, fat free (skim)","","2019-04-01"
"336080","survey_fndds_food","Milk, lactose free, low fat (1%)","","2019-04-01"
"336081","survey_fndds_food","Milk, lactose free, fat free (skim)","","2019-04-01"
"336082","survey_fndds_food","Milk, lactose free, reduced fat (2%)","","2019-04-01"
"336083","survey_fndds_food","Milk, lactose free, whole","","2019-04-01"
"336084","survey_fndds_food","Buttermilk, fat free (skim)","","2019-04-01"
"336085","survey_fndds_food","Buttermilk, low fat (1%)","","2019-04-01"
"336086","survey_fndds_food","Buttermilk, reduced fat (2%)","","2019-04-01"
"336087","survey_fndds_food","Buttermilk, whole","","2019-04-01"
"336088","survey_fndds_food","Kefir, NS as to fat content","","2019-04-01"
"336089","survey_fndds_food","Goat's milk, whole","","2019-04-01"
"336090","survey_fndds_food","Milk, dry, reconstituted, NS as to fat content","","2019-04-01"
"336091","survey_fndds_food","Milk, dry, reconstituted, whole","","2019-04-01"
"336092","survey_fndds_food","Milk, dry, reconstituted, low fat (1%)","","2019-04-01"
"336093","survey_fndds_food","Milk, dry, reconstituted, fat free (skim)","","2019-04-01"
"336094","survey_fndds_food","Milk, evaporated, NS as to fat content ","","2019-04-01"
"336095","survey_fndds_food","Milk, evaporated, whole ","","2019-04-01"
"336096","survey_fndds_food","Milk, evaporated, reduced fat (2%)","","2019-04-01"
"336097","survey_fndds_food","Milk, evaporated, fat free (skim)","","2019-04-01"
"336098","survey_fndds_food","Milk, condensed, sweetened","","2019-04-01"
"336099","survey_fndds_food","Soy milk","","2019-04-01"
"336100","survey_fndds_food","Soy milk, light","","2019-04-01"
"336101","survey_fndds_food","Soy milk, nonfat","","2019-04-01"
"336102","survey_fndds_food","Soy milk, chocolate","","2019-04-01"
"336103","survey_fndds_food","Soy milk, light, chocolate","","2019-04-01"
"336104","survey_fndds_food","Soy milk, nonfat, chocolate","","2019-04-01"
"336105","survey_fndds_food","Imitation milk, non-soy, sweetened","","2019-04-01"
"336106","survey_fndds_food","Almond milk, sweetened","","2019-04-01"
"336107","survey_fndds_food","Almond milk, sweetened, chocolate","","2019-04-01"
"336108","survey_fndds_food","Almond milk, unsweetened","","2019-04-01"
"336109","survey_fndds_food","Almond milk, unsweetened, chocolate","","2019-04-01"
"336110","survey_fndds_food","Rice milk","","2019-04-01"
"336111","survey_fndds_food","Coconut milk","","2019-04-01"
"336112","survey_fndds_food","Yogurt, NS as to type of milk or flavor","","2019-04-01"
"336113","survey_fndds_food","Yogurt, plain, NS as to type of milk","","2019-04-01"
"336114","survey_fndds_food","Yogurt, plain, whole milk","","2019-04-01"
