"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"121956","336069","1","","9999","1 cup","10205","244","","",""
"121957","336069","2","","9999","1 fl oz","30000","30.5","","",""
"121958","336069","3","","9999","1 individual school container","64294","244","","",""
"121959","336069","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121960","336069","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121961","336069","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"121962","336069","7","","9999","Quantity not specified","90000","244","","",""
"121963","336070","1","","9999","1 cup","10205","244","","",""
"121964","336070","2","","9999","1 fl oz","30000","30.5","","",""
"121965","336070","3","","9999","1 individual school container","64294","244","","",""
"121966","336070","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121967","336070","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121968","336070","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"121969","336070","7","","9999","Quantity not specified","90000","244","","",""
"121970","336071","1","","9999","1 cup","10205","244","","",""
"121971","336071","2","","9999","1 fl oz","30000","30.5","","",""
"121972","336071","3","","9999","Quantity not specified","90000","244","","",""
"121973","336071","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121974","336071","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121975","336071","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"121976","336072","1","","9999","1 cup","10205","244","","",""
"121977","336072","2","","9999","1 fl oz","30000","30.5","","",""
"121978","336072","3","","9999","Quantity not specified","90000","244","","",""
"121979","336072","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121980","336072","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121981","336072","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"121982","336073","1","","9999","1 cup","10205","244","","",""
"121983","336073","2","","9999","Quantity not specified","90000","244","","",""
"121984","336073","3","","9999","1 fl oz","30000","30.5","","",""
"121985","336073","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121986","336073","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121987","336073","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"121988","336074","1","","9999","1 cup","10205","244","","",""
"121989","336074","2","","9999","1 fl oz","30000","30.5","","",""
"121990","336074","3","","9999","Quantity not specified","90000","244","","",""
"121991","336074","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121992","336074","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121993","336074","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"121994","336075","1","","9999","1 cup","10205","244","","",""
"121995","336075","2","","9999","1 fl oz","30000","30.5","","",""
"121996","336075","3","","9999","1 individual school container","64294","244","","",""
"121997","336075","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"121998","336075","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"121999","336075","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"122000","336075","7","","9999","Quantity not specified","90000","244","","",""
"122001","336076","1","","9999","1 cup","10205","244","","",""
"122002","336076","2","","9999","1 fl oz","30000","30.5","","",""
"122003","336076","3","","9999","Quantity not specified","90000","244","","",""
"122004","336076","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"122005","336076","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"122006","336076","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"122007","336077","1","","9999","1 cup","10205","244","","",""
"122008","336077","2","","9999","1 fl oz","30000","30.5","","",""
"122009","336077","3","","9999","Quantity not specified","90000","244","","",""
"122010","336077","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"122011","336077","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"122012","336077","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"122013","336078","1","","9999","1 cup","10205","244","","",""
"122014","336078","2","","9999","1 fl oz","30000","30.5","","",""
"122015","336078","3","","9999","1 individual school container","64294","244","","",""
"122016","336078","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"122017","336078","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"122018","336078","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"122019","336078","7","","9999","Quantity not specified","90000","244","","",""
"122020","336079","1","","9999","1 cup","10205","244","","",""
"122021","336079","2","","9999","1 fl oz","30000","30.5","","",""
"122022","336079","3","","9999","1 individual school container","64294","244","","",""
"122023","336079","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"122024","336079","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"122025","336079","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"122026","336079","7","","9999","Quantity not specified","90000","244","","",""
"122027","336080","1","","9999","1 cup","10205","244","","",""
"122028","336080","2","","9999","Quantity not specified","90000","244","","",""
"122029","336080","3","","9999","1 fl oz","30000","30.5","","",""
"122030","336080","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"122031","336080","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"122032","336080","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"122033","336081","1","","9999","1 cup","10205","244","","",""
