"id","description","last_updated"
"336069","Milk, NFS","2019-04-01"
"336070","Milk, whole","2019-04-01"
"336071","Milk, low sodium, whole","2019-04-01"
"336072","Milk, calcium fortified, whole","2019-04-01"
"336073","Milk, calcium fortified, low fat (1%)","2019-04-01"
"336074","Milk, calcium fortified, fat free (skim)","2019-04-01"
"336075","Milk, reduced fat (2%)","2019-04-01"
"336076","Milk, acidophilus, low fat (1%)","2019-04-01"
"336077","Milk, acidophilus, reduced fat (2%)","2019-04-01"
"336078","Milk, low fat (1%)","2019-04-01"
"336079","Milk, fat free (skim)","2019-04-01"
"336080","Milk, lactose free, low fat (1%)","2019-04-01"
"336081","Milk, lactose free, fat free (skim)","2019-04-01"
"336082","Milk, lactose free, reduced fat (2%)","2019-04-01"
"336083","Milk, lactose free, whole","2019-04-01"
"336084","Buttermilk, fat free (skim)","2019-04-01"
"336085","Buttermilk, low fat (1%)","2019-04-01"
"336086","Buttermilk, reduced fat (2%)","2019-04-01"
"336087","Buttermilk, whole","2019-04-01"
"336088","Kefir, NS as to fat content","2019-04-01"
"336089","Goat's milk, whole","2019-04-01"
"336090","Milk, dry, reconstituted, NS as to fat content","2019-04-01"
"336091","Milk, dry, reconstituted, whole","2019-04-01"
"336092","Milk, dry, reconstituted, low fat (1%)","2019-04-01"
"336093","Milk, dry, reconstituted, fat free (skim)","2019-04-01"
"336094","Milk, evaporated, NS as to fat content ","2019-04-01"
"336095","Milk, evaporated, whole ","2019-04-01"
"336096","Milk, evaporated, reduced fat (2%)","2019-04-01"
"336097","Milk, evaporated, fat free (skim)","2019-04-01"
"336098","Milk, condensed, sweetened","2019-04-01"
"336099","Soy milk","2019-04-01"
"336100","Soy milk, light","2019-04-01"
"336101","Soy milk, nonfat","2019-04-01"
"336102","Soy milk, chocolate","2019-04-01"
"336103","Soy milk, light, chocolate","2019-04-01"
"336104","Soy milk, nonfat, chocolate","2019-04-01"
"336105","Imitation milk, non-soy, sweetened","2019-04-01"
"336106","Almond milk, sweetened","2019-04-01"
