"fdc_id","data_type","description","food_category_id","publication_date"
"781083","survey_fndds_food","Milk, NFS","","2020-04-01"
"781084","survey_fndds_food","Milk, whole","","2020-04-01"
"781085","survey_fndds_food","Milk, low sodium, whole","","2020-04-01"
"781086","survey_fndds_food","Milk, calcium fortified, whole","","2020-04-01"
"781087","survey_fndds_food","Milk, calcium fortified, low fat (1%)","","2020-04-01"
"781088","survey_fndds_food","Milk, calcium fortified, fat free (skim)","","2020-04-01"
"781089","survey_fndds_food","Milk, reduced fat (2%)","","2020-04-01"
"781090","survey_fndds_food","Milk, acidophilus, low fat (1%)","","2020-04-01"
"781091","survey_fndds_food","Milk, acidophilus, reduced fat (2%)","","2020-04-01"
"781092","survey_fndds_food","Milk, low fat (1%)","","2020-04-01"
"781093","survey_fndds_food","Milk, fat free (skim)","","2020-04-01"
"781094","survey_fndds_food","Milk, lactose free, low fat (1%)","","2020-04-01"
"781095","survey_fndds_food","Milk, lactose free, fat free (skim)","","2020-04-01"
"781096","survey_fndds_food","Milk, lactose free, reduced fat (2%)","","2020-04-01"
"781097","survey_fndds_food","Milk, lactose free, whole","","2020-04-01"
"781098","survey_fndds_food","Buttermilk, fat free (skim)","","2020-04-01"
"781099","survey_fndds_food","Buttermilk, low fat (1%)","","2020-04-01"
"781100","survey_fndds_food","Buttermilk, reduced fat (2%)","","2020-04-01"
"781101","survey_fndds_food","Buttermilk, whole","","2020-04-01"
"781102","survey_fndds_food","Kefir, NS as to fat content","","2020-04-01"
"781103","survey_fndds_food","Goat's milk, whole","","2020-04-01"
"781104","survey_fndds_food","Milk, dry, reconstituted, NS as to fat content","","2020-04-01"
"781105","survey_fndds_food","Milk, dry, reconstituted, whole","","2020-04-01"
"781106","survey_fndds_food","Milk, dry, reconstituted, low fat (1%)","","2020-04-01"
"781107","survey_fndds_food","Milk, dry, reconstituted, fat free (skim)","","2020-04-01"
"781108","survey_fndds_food","Milk, evaporated, NS as to fat content ","","2020-04-01"
"781109","survey_fndds_food","Milk, evaporated, whole ","","2020-04-01"
"781110","survey_fndds_food","Milk, evaporated, reduced fat (2%)","","2020-04-01"
"781111","survey_fndds_food","Milk, evaporated, fat free (skim)","","2020-04-01"
"781112","survey_fndds_food","Milk, condensed, sweetened","","2020-04-01"
"781113","survey_fndds_food","Non-dairy milk, NFS","","2020-04-01"
"781114","survey_fndds_food","Soy milk","","2020-04-01"
"781115","survey_fndds_food","Soy milk, light","","2020-04-01"
"781116","survey_fndds_food","Soy milk, nonfat","","2020-04-01"
"781117","survey_fndds_food","Soy milk, chocolate","","2020-04-01"
"781118","survey_fndds_food","Soy milk, light, chocolate","","2020-04-01"
"781119","survey_fndds_food","Soy milk, nonfat, chocolate","","2020-04-01"
"781120","survey_fndds_food","Imitation milk, non-soy, sweetened","","2020-04-01"
"781121","survey_fndds_food","Almond milk, sweetened","","2020-04-01"
"781122","survey_fndds_food","Almond milk, sweetened, chocolate","","2020-04-01"
"781123","survey_fndds_food","Almond milk, unsweetened","","2020-04-01"
"781124","survey_fndds_food","Almond milk, unsweetened, chocolate","","2020-04-01"
"781125","survey_fndds_food","Rice milk","","2020-04-01"
"781126","survey_fndds_food","Coconut milk","","2020-04-01"
"781127","survey_fndds_food","Yogurt, NFS","","2020-04-01"
"781128","survey_fndds_food","Yogurt, Greek, NS as to type of milk or flavor","","2020-04-01"
"781129","survey_fndds_food","Yogurt, NS as to type of milk or flavor","","2020-04-01"
"781130","survey_fndds_food","Yogurt, NS as to type of milk, plain","","2020-04-01"
"781131","survey_fndds_food","Yogurt, whole milk, plain","","2020-04-01"
"781132","survey_fndds_food","Yogurt, low fat milk, plain","","2020-04-01"
"781133","survey_fndds_food","Yogurt, nonfat milk, plain","","2020-04-01"
"781134","survey_fndds_food","Yogurt, Greek, NS as to type of milk, plain","","2020-04-01"
"781135","survey_fndds_food","Yogurt, Greek, whole milk, plain","","2020-04-01"
"781136","survey_fndds_food","Yogurt, Greek, low fat milk, plain","","2020-04-01"
"781137","survey_fndds_food","Yogurt, Greek, nonfat milk, plain","","2020-04-01"
"781138","survey_fndds_food","Yogurt, NS as to type of milk, fruit","","2020-04-01"
"781139","survey_fndds_food","Yogurt, whole milk, fruit","","2020-04-01"
"781140","survey_fndds_food","Yogurt, low fat milk, fruit","","2020-04-01"
"781141","survey_fndds_food","Yogurt, nonfat milk, fruit","","2020-04-01"
"781142","survey_fndds_food","Yogurt, Greek, NS as to type of milk, fruit","","2020-04-01"
"781143","survey_fndds_food","Yogurt, Greek, whole milk, fruit","","2020-04-01"
"781144","survey_fndds_food","Yogurt, Greek, low fat milk, fruit","","2020-04-01"
"781145","survey_fndds_food","Yogurt, Greek, nonfat milk, fruit","","2020-04-01"
"781146","survey_fndds_food","Yogurt, NS as to type of milk, flavors other than fruit","","2020-04-01"
"781147","survey_fndds_food","Yogurt, whole milk, flavors other than fruit","","2020-04-01"
"781148","survey_fndds_food","Yogurt, low fat milk, flavors other than fruit","","2020-04-01"
"781149","survey_fndds_food","Yogurt, nonfat milk, flavors other than fruit","","2020-04-01"
"781150","survey_fndds_food","Yogurt, Greek, NS as to type of milk, flavors other than fruit","","2020-04-01"
"781151","survey_fndds_food","Yogurt, Greek, whole milk, flavors other than fruit","","2020-04-01"
"781152","survey_fndds_food","Yogurt, Greek, low fat milk, flavors other than fruit","","2020-04-01"
"781153","survey_fndds_food","Yogurt, Greek, nonfat milk, flavors other than fruit","","2020-04-01"
"781154","survey_fndds_food","Yogurt, Greek, with oats","","2020-04-01"
"781155","survey_fndds_food","Yogurt, liquid","","2020-04-01"
"781163","survey_fndds_food","Yogurt parfait, low fat, with fruit","","2020-04-01"
"781189","survey_fndds_food","Chocolate milk, NFS","","2020-04-01"
"781190","survey_fndds_food","Chocolate milk, ready to drink, whole","","2020-04-01"
"781191","survey_fndds_food","Chocolate milk, ready to drink, reduced fat","","2020-04-01"
"781192","survey_fndds_food","Chocolate milk, ready to drink, fat free","","2020-04-01"
"781193","survey_fndds_food","Chocolate milk, ready to drink, low fat","","2020-04-01"
"781194","survey_fndds_food","Chocolate milk, ready to drink, reduced sugar, NS as to milk","","2020-04-01"
"781195","survey_fndds_food","Chocolate milk, ready to drink, low fat (Nesquik)","","2020-04-01"
"781196","survey_fndds_food","Chocolate milk, ready to drink, fat free (Nesquik)","","2020-04-01"
"781197","survey_fndds_food","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","","2020-04-01"
"781198","survey_fndds_food","Hot chocolate / Cocoa, ready to drink","","2020-04-01"
"781199","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","","2020-04-01"
"781200","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","","2020-04-01"
"781201","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, with whipped cream","","2020-04-01"
"781202","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","","2020-04-01"
"781203","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","","2020-04-01"
"781204","survey_fndds_food","Chocolate milk, made from dry mix, NS as to type of milk","","2020-04-01"
"781205","survey_fndds_food","Chocolate milk, made from dry mix with whole milk","","2020-04-01"
