"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"374868","781083","","999","Fortification identifier code","1"
"383060","781083","","999","WWEIA Category code","1004"
"399443","781083","","999","WWEIA Category description","Milk, reduced fat"
"356438","781084","1","1001","","3.5% or 3.8% fat milk"
"356439","781084","2","1001","","leche fresca"
"374869","781084","","999","Fortification identifier code","1"
"383061","781084","","999","WWEIA Category code","1002"
"399444","781084","","999","WWEIA Category description","Milk, whole"
"374870","781085","","999","Fortification identifier code","1"
"383062","781085","","999","WWEIA Category code","1002"
"399445","781085","","999","WWEIA Category description","Milk, whole"
"374871","781086","","999","Fortification identifier code","1"
"383063","781086","","999","WWEIA Category code","1002"
"399446","781086","","999","WWEIA Category description","Milk, whole"
"374872","781087","","999","Fortification identifier code","1"
"383064","781087","","999","WWEIA Category code","1006"
"399447","781087","","999","WWEIA Category description","Milk, lowfat"
"356440","781088","3","1001","","nonfat milk"
"356441","781088","4","1001","","0.5% or less fat"
"356442","781088","5","1001","","Skim Plus"
"356443","781088","6","1001","","Skim Delux Calcium"
"374873","781088","","999","Fortification identifier code","1"
"383065","781088","","999","WWEIA Category code","1008"
"399448","781088","","999","WWEIA Category description","Milk, nonfat"
"356444","781089","1","1001","","Hi-Protein milk"
"356445","781089","2","1001","","fortified milk"
"356446","781089","3","1001","","1.5% fat milk"
"374874","781089","","999","Fortification identifier code","1"
"383066","781089","","999","WWEIA Category code","1004"
"399449","781089","","999","WWEIA Category description","Milk, reduced fat"
"374875","781090","","999","Fortification identifier code","1"
"383067","781090","","999","WWEIA Category code","1006"
"399450","781090","","999","WWEIA Category description","Milk, lowfat"
"356447","781091","1","1001","","1.5% fat acidophilus milk"
"374876","781091","","999","Fortification identifier code","1"
"383068","781091","","999","WWEIA Category code","1004"
"399451","781091","","999","WWEIA Category description","Milk, reduced fat"
"374877","781092","","999","Fortification identifier code","1"
"383069","781092","","999","WWEIA Category code","1006"
"399452","781092","","999","WWEIA Category description","Milk, lowfat"
"356448","781093","2","1001","","nonfat milk"
"356449","781093","3","1001","","0.5% or less fat"
"374878","781093","","999","Fortification identifier code","1"
"383070","781093","","999","WWEIA Category code","1008"
"399453","781093","","999","WWEIA Category description","Milk, nonfat"
"356450","781094","1","1001","","Lactaid"
"356451","781094","2","1001","","Lactaid, NS as to fat content"
"356452","781094","4","1001","","lactose reduced"
"374879","781094","","999","Fortification identifier code","1"
"383071","781094","","999","WWEIA Category code","1006"
"399454","781094","","999","WWEIA Category description","Milk, lowfat"
"356453","781095","1","1001","","Lactaid"
"356454","781095","3","1001","","nonfat milk"
"356455","781095","4","1001","","lactose reduced"
"374880","781095","","999","Fortification identifier code","1"
"383072","781095","","999","WWEIA Category code","1008"
"399455","781095","","999","WWEIA Category description","Milk, nonfat"
"356456","781096","1","1001","","Lactaid"
"356457","781096","3","1001","","lactose reduced"
"374881","781096","","999","Fortification identifier code","1"
"383073","781096","","999","WWEIA Category code","1004"
"399456","781096","","999","WWEIA Category description","Milk, reduced fat"
"356458","781097","1","1001","","Lactaid whole milk"
"356459","781097","2","1001","","lactose reduced"
"374882","781097","","999","Fortification identifier code","1"
"383074","781097","","999","WWEIA Category code","1002"
"399457","781097","","999","WWEIA Category description","Milk, whole"
"356460","781098","3","1001","","nonfat buttermilk"
"383075","781098","","999","WWEIA Category code","1008"
"399458","781098","","999","WWEIA Category description","Milk, nonfat"
"356461","781099","2","1001","","buttermilk, NS as to fat"
