"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"198267","781083","1","","9999","1 cup","10205","244","","",""
"203277","781083","2","","9999","1 fl oz","30000","30.5","","",""
"219058","781083","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219411","781083","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219444","781083","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"221998","781083","3","","9999","1 individual school container","64294","244","","",""
"225856","781083","7","","9999","Quantity not specified","90000","244","","",""
"198268","781084","1","","9999","1 cup","10205","244","","",""
"203278","781084","2","","9999","1 fl oz","30000","30.5","","",""
"219059","781084","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219412","781084","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219445","781084","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"221999","781084","3","","9999","1 individual school container","64294","244","","",""
"225857","781084","7","","9999","Quantity not specified","90000","244","","",""
"198269","781085","1","","9999","1 cup","10205","244","","",""
"203279","781085","2","","9999","1 fl oz","30000","30.5","","",""
"219060","781085","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219413","781085","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219446","781085","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"225858","781085","3","","9999","Quantity not specified","90000","244","","",""
"198270","781086","1","","9999","1 cup","10205","244","","",""
"203280","781086","2","","9999","1 fl oz","30000","30.5","","",""
"219061","781086","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219414","781086","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219447","781086","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"225859","781086","3","","9999","Quantity not specified","90000","244","","",""
"198271","781087","1","","9999","1 cup","10205","244","","",""
"203281","781087","3","","9999","1 fl oz","30000","30.5","","",""
"219062","781087","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219415","781087","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219448","781087","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"225860","781087","2","","9999","Quantity not specified","90000","244","","",""
"198272","781088","1","","9999","1 cup","10205","244","","",""
"203282","781088","2","","9999","1 fl oz","30000","30.5","","",""
"219063","781088","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219416","781088","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219449","781088","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"225861","781088","3","","9999","Quantity not specified","90000","244","","",""
"198273","781089","1","","9999","1 cup","10205","244","","",""
"203283","781089","2","","9999","1 fl oz","30000","30.5","","",""
"219064","781089","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219417","781089","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219450","781089","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"222000","781089","3","","9999","1 individual school container","64294","244","","",""
"225862","781089","7","","9999","Quantity not specified","90000","244","","",""
"198274","781090","1","","9999","1 cup","10205","244","","",""
"203284","781090","2","","9999","1 fl oz","30000","30.5","","",""
"219065","781090","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219418","781090","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219451","781090","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"225863","781090","3","","9999","Quantity not specified","90000","244","","",""
"198275","781091","1","","9999","1 cup","10205","244","","",""
"203285","781091","2","","9999","1 fl oz","30000","30.5","","",""
"219066","781091","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219419","781091","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219452","781091","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"225864","781091","3","","9999","Quantity not specified","90000","244","","",""
"198276","781092","1","","9999","1 cup","10205","244","","",""
"203286","781092","2","","9999","1 fl oz","30000","30.5","","",""
"219067","781092","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219420","781092","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219453","781092","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
"222001","781092","3","","9999","1 individual school container","64294","244","","",""
"225865","781092","7","","9999","Quantity not specified","90000","244","","",""
"198277","781093","1","","9999","1 cup","10205","244","","",""
"203287","781093","2","","9999","1 fl oz","30000","30.5","","",""
"219068","781093","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"219421","781093","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"219454","781093","6","","9999","Guideline amount per cup of cold cereal","63547","122","","",""
