"id","description","last_updated"
"781083","Milk, NFS","2020-04-01"
"781084","Milk, whole","2020-04-01"
"781085","Milk, low sodium, whole","2020-04-01"
"781086","Milk, calcium fortified, whole","2020-04-01"
"781087","Milk, calcium fortified, low fat (1%)","2020-04-01"
"781088","Milk, calcium fortified, fat free (skim)","2020-04-01"
"781089","Milk, reduced fat (2%)","2020-04-01"
"781090","Milk, acidophilus, low fat (1%)","2020-04-01"
"781091","Milk, acidophilus, reduced fat (2%)","2020-04-01"
"781092","Milk, low fat (1%)","2020-04-01"
"781093","Milk, fat free (skim)","2020-04-01"
"781094","Milk, lactose free, low fat (1%)","2020-04-01"
"781095","Milk, lactose free, fat free (skim)","2020-04-01"
"781096","Milk, lactose free, reduced fat (2%)","2020-04-01"
"781097","Milk, lactose free, whole","2020-04-01"
"781098","Buttermilk, fat free (skim)","2020-04-01"
"781099","Buttermilk, low fat (1%)","2020-04-01"
"781100","Buttermilk, reduced fat (2%)","2020-04-01"
"781101","Buttermilk, whole","2020-04-01"
"781102","Kefir, NS as to fat content","2020-04-01"
"781103","Goat's milk, whole","2020-04-01"
"781104","Milk, dry, reconstituted, NS as to fat content","2020-04-01"
"781105","Milk, dry, reconstituted, whole","2020-04-01"
"781106","Milk, dry, reconstituted, low fat (1%)","2020-04-01"
"781107","Milk, dry, reconstituted, fat free (skim)","2020-04-01"
"781108","Milk, evaporated, NS as to fat content ","2020-04-01"
"781109","Milk, evaporated, whole ","2020-04-01"
"781110","Milk, evaporated, reduced fat (2%)","2020-04-01"
"781111","Milk, evaporated, fat free (skim)","2020-04-01"
"781112","Milk, condensed, sweetened","2020-04-01"
"781113","Non-dairy milk, NFS","2020-04-01"
"781114","Soy milk","2020-04-01"
"781115","Soy milk, light","2020-04-01"
"781116","Soy milk, nonfat","2020-04-01"
"781117","Soy milk, chocolate","2020-04-01"
"781118","Soy milk, light, chocolate","2020-04-01"
"781119","Soy milk, nonfat, chocolate","2020-04-01"
"781120","Imitation milk, non-soy, sweetened","2020-04-01"
"781121","Almond milk, sweetened","2020-04-01"
"781122","Almond milk, sweetened, chocolate","2020-04-01"
"781123","Almond milk, unsweetened","2020-04-01"
"781124","Almond milk, unsweetened, chocolate","2020-04-01"
"781125","Rice milk","2020-04-01"
"781126","Coconut milk","2020-04-01"
"781127","Yogurt, NFS","2020-04-01"
"781128","Yogurt, Greek, NS as to type of milk or flavor","2020-04-01"
"781129","Yogurt, NS as to type of milk or flavor","2020-04-01"
"781130","Yogurt, NS as to type of milk, plain","2020-04-01"
"781131","Yogurt, whole milk, plain","2020-04-01"
"781132","Yogurt, low fat milk, plain","2020-04-01"
"781133","Yogurt, nonfat milk, plain","2020-04-01"
"781134","Yogurt, Greek, NS as to type of milk, plain","2020-04-01"
"781135","Yogurt, Greek, whole milk, plain","2020-04-01"
"781136","Yogurt, Greek, low fat milk, plain","2020-04-01"
"781137","Yogurt, Greek, nonfat milk, plain","2020-04-01"
"781138","Yogurt, NS as to type of milk, fruit","2020-04-01"
"781139","Yogurt, whole milk, fruit","2020-04-01"
"781140","Yogurt, low fat milk, fruit","2020-04-01"
"781141","Yogurt, nonfat milk, fruit","2020-04-01"
"781142","Yogurt, Greek, NS as to type of milk, fruit","2020-04-01"
"781143","Yogurt, Greek, whole milk, fruit","2020-04-01"
"781144","Yogurt, Greek, low fat milk, fruit","2020-04-01"
"781145","Yogurt, Greek, nonfat milk, fruit","2020-04-01"
"781146","Yogurt, NS as to type of milk, flavors other than fruit","2020-04-01"
"781147","Yogurt, whole milk, flavors other than fruit","2020-04-01"
"781148","Yogurt, low fat milk, flavors other than fruit","2020-04-01"
"781149","Yogurt, nonfat milk, flavors other than fruit","2020-04-01"
"781150","Yogurt, Greek, NS as to type of milk, flavors other than fruit","2020-04-01"
"781151","Yogurt, Greek, whole milk, flavors other than fruit","2020-04-01"
"781152","Yogurt, Greek, low fat milk, flavors other than fruit","2020-04-01"
"781153","Yogurt, Greek, nonfat milk, flavors other than fruit","2020-04-01"
"781154","Yogurt, Greek, with oats","2020-04-01"
"781155","Yogurt, liquid","2020-04-01"
"781163","Yogurt parfait, low fat, with fruit","2020-04-01"
"781189","Chocolate milk, NFS","2020-04-01"
"781190","Chocolate milk, ready to drink, whole","2020-04-01"
"781191","Chocolate milk, ready to drink, reduced fat","2020-04-01"
"781192","Chocolate milk, ready to drink, fat free","2020-04-01"
"781193","Chocolate milk, ready to drink, low fat","2020-04-01"
"781194","Chocolate milk, ready to drink, reduced sugar, NS as to milk","2020-04-01"
"781195","Chocolate milk, ready to drink, low fat (Nesquik)","2020-04-01"
"781196","Chocolate milk, ready to drink, fat free (Nesquik)","2020-04-01"
"781197","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","2020-04-01"
"781198","Hot chocolate / Cocoa, ready to drink","2020-04-01"
"781199","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","2020-04-01"
"781200","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","2020-04-01"
"781201","Hot chocolate / Cocoa, ready to drink, with whipped cream","2020-04-01"
"781202","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","2020-04-01"
"781203","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","2020-04-01"
"781204","Chocolate milk, made from dry mix, NS as to type of milk","2020-04-01"
"781205","Chocolate milk, made from dry mix with whole milk","2020-04-01"
"781206","Chocolate milk, made from dry mix with reduced fat milk","2020-04-01"
"781207","Chocolate milk, made from dry mix with low fat milk","2020-04-01"
"781208","Chocolate milk, made from dry mix with fat free milk","2020-04-01"
"781209","Chocolate milk, made from dry mix with non-dairy milk","2020-04-01"
"781210","Chocolate milk, made from reduced sugar mix, NS as to type of milk","2020-04-01"
"781211","Chocolate milk, made from reduced sugar mix with whole milk","2020-04-01"
"781212","Chocolate milk, made from reduced sugar mix with reduced fat milk","2020-04-01"
"781213","Chocolate milk, made from reduced sugar mix with low fat milk","2020-04-01"
"781214","Chocolate milk, made from reduced sugar mix with fat free milk","2020-04-01"
"781215","Chocolate milk, made from reduced sugar mix with non-dairy milk","2020-04-01"
"781216","Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","2020-04-01"
"781217","Chocolate milk, made from dry mix with whole milk (Nesquik)","2020-04-01"
"781218","Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","2020-04-01"
"781219","Chocolate milk, made from dry mix with low fat milk (Nesquik)","2020-04-01"
"781220","Chocolate milk, made from dry mix with fat free milk (Nesquik)","2020-04-01"
"781221","Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","2020-04-01"
"781222","Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)","2020-04-01"
"781223","Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)","2020-04-01"
"781224","Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","2020-04-01"
"781225","Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)","2020-04-01"
"781226","Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)","2020-04-01"
"781227","Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","2020-04-01"
"781228","Chocolate milk, made from syrup, NS as to type of milk","2020-04-01"
"781229","Chocolate milk, made from syrup with whole milk","2020-04-01"
"781230","Chocolate milk, made from syrup with reduced fat milk","2020-04-01"
"781231","Chocolate milk, made from syrup with low fat milk","2020-04-01"
"781232","Chocolate milk, made from syrup with fat free milk","2020-04-01"
"781233","Chocolate milk, made from syrup with non-dairy milk","2020-04-01"
"781234","Chocolate milk, made from light syrup, NS as to type of milk","2020-04-01"
"781235","Chocolate milk, made from light syrup with whole milk","2020-04-01"
"781236","Chocolate milk, made from light syrup with reduced fat milk","2020-04-01"
"781237","Chocolate milk, made from light syrup with low fat milk","2020-04-01"
"781238","Chocolate milk, made from light syrup with fat free milk","2020-04-01"
"781239","Chocolate milk, made from light syrup with non-dairy milk","2020-04-01"
"781240","Chocolate milk, made from sugar free syrup, NS as to type of milk ","2020-04-01"
"781241","Chocolate milk, made from sugar free syrup with whole milk","2020-04-01"
"781242","Chocolate milk, made from sugar free syrup with reduced fat milk","2020-04-01"
"781243","Chocolate milk, made from sugar free syrup with low fat milk","2020-04-01"
"781244","Chocolate milk, made from sugar free syrup with fat free milk","2020-04-01"
"781245","Chocolate milk, made from sugar free syrup with non-dairy milk","2020-04-01"
"781246","Hot chocolate / Cocoa, made with dry mix and water","2020-04-01"
"781247","Hot chocolate / Cocoa, made with dry mix and whole milk","2020-04-01"
"781248","Hot chocolate / Cocoa, made with dry mix and reduced fat milk","2020-04-01"
"781249","Hot chocolate / Cocoa, made with dry mix and low fat milk","2020-04-01"
"781250","Hot chocolate / Cocoa, made with dry mix and fat free milk","2020-04-01"
"781251","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","2020-04-01"
"781252","Hot chocolate / Cocoa, made with no sugar added dry mix and water","2020-04-01"
"781253","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","2020-04-01"
"781254","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","2020-04-01"
"781255","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","2020-04-01"
"781256","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","2020-04-01"
"781257","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","2020-04-01"
"781258","Strawberry milk, NFS","2020-04-01"
"781259","Strawberry milk, whole","2020-04-01"
"781260","Strawberry milk, reduced fat","2020-04-01"
"781261","Strawberry milk, low fat","2020-04-01"
"781262","Strawberry milk, fat free","2020-04-01"
"781263","Strawberry milk, non-dairy","2020-04-01"
"781264","Milk, malted","2020-04-01"
"781265","Eggnog, regular","2020-04-01"
"781266","Eggnog, lowfat / light","2020-04-01"
"781267","Milk shake, home recipe, chocolate","2020-04-01"
"781268","Milk shake, home recipe, flavors other than chocolate","2020-04-01"
"781269","Milk shake, home recipe, chocolate, light","2020-04-01"
"781270","Milk shake, home recipe, flavors other than chocolate, light","2020-04-01"
"781271","Milk shake with malt","2020-04-01"
"781272","Milk shake, fast food, chocolate","2020-04-01"
"781273","Milk shake, fast food, flavors other than chocolate","2020-04-01"
"781274","Milk shake, bottled, chocolate","2020-04-01"
"781275","Milk shake, bottled, flavors other than chocolate","2020-04-01"
"781281","Chocolate milk drink","2020-04-01"
"781543","Ice cream soda, flavors other than chocolate","2020-04-01"
"781544","Ice cream soda, chocolate","2020-04-01"
"781654","Cheese, NFS","2020-04-01"
"781655","Cheese, Blue or Roquefort","2020-04-01"
"781656","Cheese, Brick","2020-04-01"
"781657","Cheese, Camembert","2020-04-01"
"781658","Cheese, Brie","2020-04-01"
"781659","Cheese, Cheddar","2020-04-01"
"781660","Cheese, Cheddar, reduced fat","2020-04-01"
"781661","Cheese, Cheddar, nonfat or fat free","2020-04-01"
"781662","Cheese, Colby","2020-04-01"
"781663","Cheese, Colby Jack","2020-04-01"
"781664","Cheese, Feta","2020-04-01"
"781665","Cheese, Fontina","2020-04-01"
"781666","Cheese, goat","2020-04-01"
"781667","Cheese, Gouda or Edam","2020-04-01"
"781668","Cheese, Gruyere","2020-04-01"
"781669","Cheese, Limburger","2020-04-01"
"781670","Cheese, Monterey","2020-04-01"
"781671","Cheese, Monterey, reduced fat","2020-04-01"
"781672","Cheese, Mozzarella, NFS","2020-04-01"
"781673","Cheese, Mozzarella, whole milk","2020-04-01"
"781674","Cheese, Mozzarella, part skim","2020-04-01"
"781675","Cheese, Mozzarella, reduced sodium","2020-04-01"
"781676","Cheese, Mozzarella, nonfat or fat free","2020-04-01"
"781677","Cheese, Muenster","2020-04-01"
"781678","Cheese, Muenster, reduced fat","2020-04-01"
"781679","Cheese, Parmesan, dry grated","2020-04-01"
"781680","Cheese, Parmesan, dry grated, reduced fat","2020-04-01"
"781681","Cheese, Parmesan, hard","2020-04-01"
